dataset,seed,n_samples,name,mu_star,mu_star_conf
production,200,32,Resource Calendar ID0997,3416217.228785324,1061885.3457194204
production,200,32,Resource Calendar ID0998,1479738.197608407,691446.766219875
production,200,32,Resource Calendar ID3641,2940754.080126458,1424762.614301499
production,200,32,Resource Calendar ID3716,2417574.7725457978,1224372.123184409
production,200,32,Resource Calendar ID3718,1816326.9692671353,772698.5727618922
production,200,32,Resource Calendar ID3846,2697242.0117653557,1182239.461725816
production,200,32,Resource Calendar ID3854,2102197.921430986,784006.9355727016
production,200,32,Resource Calendar ID3998,2620557.4857403357,1412511.2975879218
production,200,32,Resource Calendar ID4109,2092342.998961494,1279392.9485872816
production,200,32,Resource Calendar ID4132,1833538.7684335418,743390.0007086194
production,200,32,Resource Calendar ID4140,1733220.8474366073,579690.7211174087
production,200,32,Resource Calendar ID4142,2305233.674073077,1640907.7658201726
production,200,32,Resource Calendar ID4160,1872996.9701782572,817412.3099535644
production,200,32,Resource Calendar ID4162,2195273.0043818248,1280668.8737361466
production,200,32,Resource Calendar ID4163,2226516.050068656,1409207.0380950982
production,200,32,Resource Calendar ID4167,1894567.4138133153,880769.0051461707
production,200,32,Resource Calendar ID4219,2959784.30464988,1184079.2590430095
production,200,32,Resource Calendar ID4287,3001748.513307469,2650298.0583913205
production,200,32,Resource Calendar ID4291,2137068.201888305,932714.9883731273
production,200,32,Resource Calendar ID4326,2892926.811530936,1733708.5951994262
